Raf,Mek,PLCg,PIP2,PIP3,Erk,Akt,PKA,PKC,p38,JNK,experiment,label
26.4,13.2,8.82,18.3,58.8,6.61,17.0,414.0,17.0,44.9,40.0,1,100
35.9,16.5,12.3,16.8,8.13,18.6,32.5,352.0,3.37,16.5,61.5,1,100
59.4,44.1,14.6,10.2,13.0,14.9,32.5,403.0,11.4,31.9,19.5,1,100
73.0,82.8,23.1,13.5,1.29,5.83,11.8,528.0,13.7,28.6,23.1,1,100
33.7,19.8,5.19,9.73,24.8,21.1,46.1,305.0,4.66,25.7,81.3,1,100
18.8,3.75,17.6,22.1,10.9,11.9,25.7,610.0,13.7,49.1,57.8,1,100
44.9,36.5,10.4,132.0,16.3,8.66,17.9,835.0,15.0,35.9,18.1,1,100
47.4,15.0,14.6,30.5,17.5,20.2,45.3,466.0,6.44,24.4,20.0,1,100
104.0,61.5,10.6,21.1,41.8,11.5,23.5,445.0,29.2,61.0,25.3,1,100
21.1,21.5,1.88,205.0,43.7,13.2,135.0,213.0,14.6,26.7,101.0,1,100
16.4,16.4,14.5,17.0,11.2,21.9,34.6,449.0,20.4,44.9,24.1,1,100
74.3,22.9,7.5,15.5,26.2,20.9,36.5,389.0,31.9,71.0,35.5,1,100
85.1,39.6,8.9,64.9,11.7,6.67,12.2,528.0,17.9,44.1,118.0,1,100
36.8,29.2,5.0,9.06,15.5,17.9,17.9,400.0,14.6,41.4,151.0,1,100
29.2,24.1,10.2,16.0,46.6,8.82,7.23,500.0,9.73,19.1,7.91,1,100
50.0,13.8,11.9,13.2,11.3,18.1,27.9,392.0,56.2,77.0,1.0,1,100
26.2,26.7,21.3,10.9,14.7,9.06,37.9,89.0,40.0,65.5,1.42,1,100
39.6,38.2,10.5,92.2,22.7,27.6,31.3,223.0,16.5,30.8,7.64,1,100
30.5,19.8,7.5,133.0,15.7,19.1,36.2,319.0,24.1,37.2,17.2,1,100
49.1,16.5,13.3,141.0,25.7,31.1,62.1,710.0,14.2,27.4,22.1,1,100
38.5,8.9,11.3,85.8,17.9,12.1,35.9,843.0,12.0,28.4,20.9,1,100
31.6,17.8,14.5,10.6,4.91,10.2,23.9,276.0,13.8,28.4,12.7,1,100
41.0,27.9,1.0,137.0,23.9,30.2,50.0,965.0,1.0,84.3,4.61,1,100
70.4,54.2,15.4,24.4,12.9,9.91,27.9,449.0,35.9,93.9,48.3,1,100
70.4,42.2,17.6,20.9,10.5,59.4,98.2,1981.0,35.9,46.1,17.8,1,100
21.5,1.0,8.28,181.0,43.7,18.8,38.5,644.0,13.6,29.2,7.04,1,100
39.2,23.1,18.6,22.1,10.6,17.8,32.2,466.0,10.5,23.3,6.98,1,100
69.8,20.4,19.8,18.4,6.26,10.4,25.0,500.0,22.7,48.3,59.4,1,100
34.9,22.3,17.2,50.0,23.1,34.3,51.4,308.0,13.2,38.9,196.0,1,100
40.7,24.8,13.0,62.6,38.2,5.14,14.7,673.0,28.1,41.8,23.1,1,100
45.7,15.7,13.2,21.3,7.5,23.9,49.1,1382.0,19.5,38.5,20.9,1,100
43.7,29.2,14.5,17.6,13.1,8.58,12.5,621.0,34.0,67.9,28.1,1,100
79.9,80.6,4.41,209.0,19.5,10.5,35.5,422.0,26.9,40.3,15.3,1,100
56.7,17.3,21.7,18.1,12.7,9.22,22.9,552.0,38.5,59.9,17.9,1,100
58.8,19.5,2.57,41.4,2.21,19.1,33.7,325.0,22.9,31.9,20.7,1,100
53.8,12.7,10.9,12.4,30.8,20.2,37.9,403.0,22.5,38.5,20.9,1,100
58.3,23.1,18.9,79.1,24.4,36.2,48.7,429.0,14.7,28.9,12.6,1,100
160.0,28.1,7.1,115.0,16.1,4.96,12.4,1241.0,2.46,31.3,83.5,1,100
45.3,9.39,12.2,53.8,27.6,4.29,27.6,599.0,38.2,80.6,139.0,1,100
54.7,28.4,8.35,9.39,20.7,38.5,59.9,898.0,12.7,23.7,13.5,1,100
85.1,26.9,25.3,47.8,22.9,13.6,14.2,396.0,4.74,8.98,43.3,1,100
109.0,43.7,9.47,343.0,60.4,27.1,42.6,319.0,14.9,37.9,17.8,1,100
25.7,15.3,1.0,120.0,23.7,2.69,18.9,10.2,4.96,40.3,221.0,1,100
50.5,28.1,27.6,28.9,13.8,14.7,24.8,382.0,15.3,20.0,7.7,1,100
69.2,17.8,17.8,62.1,23.1,2.71,13.3,562.0,4.45,20.0,105.0,1,100
62.6,19.3,8.51,20.9,39.2,4.49,24.8,474.0,23.5,48.7,22.5,1,100
67.9,43.7,11.4,19.3,15.8,17.8,38.5,1433.0,31.9,66.7,40.0,1,100
75.0,57.8,4.91,15.4,24.6,21.9,36.2,233.0,21.3,46.1,17.0,1,100
50.9,42.2,7.57,122.0,48.3,6.26,36.2,1027.0,12.5,32.8,108.0,1,100
79.9,20.4,24.1,22.5,20.0,8.82,24.1,466.0,19.1,34.9,6.15,1,100
62.6,21.7,21.9,22.1,3.82,39.2,75.7,1310.0,8.74,22.7,11.7,1,100
50.9,25.3,6.38,76.4,17.2,9.06,15.4,673.0,4.66,26.9,173.0,1,100
75.0,30.5,13.6,51.4,42.2,25.3,35.5,466.0,20.4,43.7,10.1,1,100
59.4,25.3,11.7,20.7,27.9,3.62,12.4,29.7,17.2,32.5,10.5,1,100
181.0,37.9,1.0,292.0,49.6,6.38,13.1,573.0,20.9,38.2,17.6,1,100
69.8,33.1,12.7,67.3,1.91,4.07,27.1,973.0,85.8,121.0,32.5,1,100
57.3,19.1,11.1,42.2,6.61,5.83,13.5,547.0,44.9,80.6,71.7,1,100
82.8,30.5,13.9,18.6,6.92,23.5,37.5,418.0,6.55,16.7,95.6,1,100
35.5,24.6,15.7,35.5,11.9,21.9,45.7,322.0,6.79,23.3,11.9,1,100
80.6,27.9,17.9,42.6,17.3,2.84,20.7,188.0,20.7,33.1,17.5,1,100
113.0,45.7,10.8,154.0,58.3,13.1,21.5,337.0,5.47,20.0,9.39,1,100
8.9,10.1,10.3,89.0,29.4,181.0,355.0,1731.0,24.1,42.2,20.7,1,100
35.2,14.1,7.1,20.2,32.2,12.9,22.5,583.0,37.5,47.4,9.47,1,100
24.1,12.3,12.7,62.6,26.7,9.14,16.5,547.0,25.7,59.9,80.6,1,100
164.0,33.1,5.78,28.6,13.7,16.3,24.1,319.0,22.5,35.5,12.4,1,100
57.8,27.1,15.5,57.3,19.5,25.9,34.6,382.0,3.05,27.1,78.4,1,100
90.6,27.4,40.0,97.3,71.0,10.9,18.9,429.0,4.45,42.9,80.6,1,100
38.5,12.7,4.37,22.7,23.7,4.22,10.8,578.0,1.86,7.37,3.43,1,100
51.4,36.8,12.7,40.3,21.7,12.7,25.9,667.0,2.5,14.9,64.9,1,100
26.9,15.1,18.6,20.5,8.43,20.4,38.5,437.0,11.7,24.4,15.4,1,100
56.2,21.1,12.7,21.1,57.8,14.1,19.8,474.0,25.9,39.6,75.7,1,100
70.4,35.5,18.4,45.7,47.8,18.8,31.6,418.0,10.0,22.3,6.67,1,100
58.8,35.2,12.2,16.5,24.1,18.4,33.7,362.0,16.3,19.8,10.4,1,100
69.2,35.5,17.3,50.0,19.8,8.51,18.6,151.0,12.0,31.1,27.6,1,100
69.8,47.0,25.5,276.0,77.0,32.8,51.4,799.0,19.6,47.8,16.4,1,100
105.0,59.9,20.0,19.6,15.1,6.85,23.1,1065.0,1.67,48.3,4.66,1,100
62.1,51.9,13.6,30.2,10.6,14.3,37.9,692.0,6.49,25.0,91.4,1,100
75.0,33.4,1.0,31.6,1.0,19.8,27.6,505.0,18.6,31.1,7.64,1,100
20.4,15.1,7.99,101.0,35.9,9.14,22.9,400.0,11.7,22.7,6.85,1,100
47.8,19.6,17.5,33.1,82.0,17.9,35.2,956.0,22.5,43.3,20.0,1,100
59.9,53.3,11.8,77.7,12.9,11.1,37.9,1407.0,18.8,29.4,16.8,1,100
46.6,27.1,12.4,109.0,21.9,21.5,38.2,207.0,11.0,31.3,12.0,1,100
51.9,21.3,49.1,58.8,10.8,58.8,200.0,3051.0,15.3,39.2,15.7,1,100
31.9,23.9,15.1,12.7,4.61,6.73,15.0,562.0,1.0,68.5,8.2,1,100
93.9,27.4,67.3,138.0,30.8,28.1,46.1,906.0,2.69,6.98,71.0,1,100
64.9,23.3,15.3,12.6,9.06,19.6,35.2,806.0,2.37,20.0,7.91,1,100
153.0,123.0,12.0,34.6,63.8,8.58,26.2,470.0,1.0,12.0,9.91,1,100
16.7,12.4,7.04,235.0,34.9,44.9,64.9,1843.0,23.5,36.2,30.5,1,100
71.7,25.5,13.1,12.0,43.3,12.2,31.3,655.0,7.7,16.4,49.1,1,100
